Karma,score,author
30118,0,ThatOneDude_21
30118,0,ThatOneDude_21
50,0,Rorahn
50,0,Rorahn
58,1,PinkieToaster
30118,0,ThatOneDude_21
50,0,Rorahn
58,0,PinkieToaster
30118,0,ThatOneDude_21
34,0,kallurishrikant
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
140,0,B-Lock1888
324,1,Alidoski
315,0,shawnz
1,0,nan
1,0,DragonSin09
166,0,DJORDANS88
22989,0,AqAqGT
1,0,TWcbit250
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
2051,1,Coolsuf
33711,0,sanjay_82
2051,0,Coolsuf
2085,0,potatomolehill
2051,0,Coolsuf
2051,0,Coolsuf
10916,1,putnamto
2085,1,potatomolehill
2051,1,Coolsuf
2085,0,potatomolehill
1,0,TWcbit250
103,0,51IDN
229,0,justtransit
404,0,lordfly911
229,0,justtransit
2051,0,Coolsuf
2051,0,Coolsuf
10916,0,putnamto
2051,0,Coolsuf
404,0,lordfly911
229,0,justtransit
2978,0,Entegy
6922,0,EmbarrassedActive4
496,0,CavemanJamess
819,0,harrybarracuda
1945,0,CL_0
8470,1,Fantastic_Individual
813,0,VN_Xun
3335,0,dddvvvzzz
1,1,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
34,0,GallowsHall
34,0,GallowsHall
739,1,MiningMarsh
24071,0,Robots_Never_Die
343,0,SMA2001
34,0,GallowsHall
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
733,0,The_Sloth_Racer
2291,0,gamr13
2978,0,Entegy
496,0,CavemanJamess
1,0,nan
1,0,nan
